cnpj,nome,uf,cidade,bairro,renda_bairro,aluguel_m2,aluguel_total,margem_proxy,match_renda,idade_anos,telefone,email,segmento,cnae_match,cnae_principal,academia_core,flag_nao_academia,tp_name,na_totalpass
10616281000165,CONSCIENCIA CORPORAL,DF,Brasília,LAGO SUL,12500,54.97,27485.0,227.4,bairro_exato,17.7,6199811504,,academia,principal,9313100,1,0,,0
46204268000146,ESTUDIO S,DF,Brasília,AREA OCTOGONAL,10104,54.97,27485.0,183.81,bairro_fuzzy,4.4,6183576779,SOLMARTINS.05@GMAIL.COM,academia,principal,9313100,1,0,,0
33980448000178,ESTUDIU SAUDE FITNESS,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,7.2,6133017505,ALPHA-CONTABILIDADE@HOTMAIL.COM,academia,principal,9313100,1,0,,0
48495037000164,STUDIO ZOE FITNESS,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,3.8,6185370074,ANDRE.PORTUGALCORDEIRO@GMAIL.COM,academia,principal,9313100,1,0,,0
52329441000135,STUDIO VELOCITY,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,3.0,6692036350,GERENCIA-BRASILIASUDOESTE@STUDIOVELOCITY.COM.BR,academia,principal,9313100,1,0,,0
58801017000128,STUDIO DEDICAR,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,1.7,6195529563,STUDIODEDICAR@GMAIL.COM,academia,principal,9313100,1,0,,0
65782420000112,SP SPORTS E PERFORMANCE,DF,Brasília,SUDOESTE/OCTOGONAL,10104,54.97,27485.0,183.81,bairro_exato,0.5,6199999999,SPSPORTSEPERFORMANCE@GMAIL.COM,academia,principal,9313100,1,0,,0
22969926000122,PRATIQUE MOVIMENTO,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,11.2,6135519005,FRANCOENERI@FRANCOENERI.COM.BR,academia,principal,9313100,1,0,,0
53701639000160,MB ACADEMIA SW,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,2.7,6134275428,FABRICIO@MAYBOOTCAMP.COM,academia,principal,9313100,1,0,,0
08621379000169,,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,19.7,2125363770,CNPJ@BODYTECH.COM.BR,academia,principal,9313100,1,0,,0
16621538000153,SIDDARTHA MEIRA PILATES E TERAPIA DA DOR,DF,Brasília,SETOR SUDOESTE,10104,54.97,27485.0,183.81,bairro_fuzzy,14.2,6191157414,SIDDARTMAG70@GMAIL.COM,academia,principal,9313100,1,0,,0
