cnpj,nome,uf,city,ibge,bairro,cnae_match,match,tier,method,addr_sim,name_sim,tp_id,tp_name
61690072000100,STRONG FITNESS,PE,Caruaru,2604106,DEPUTADO JOSE ANTONIO LIBERATO,principal,0,,,,,,
47226101000149,IB COMERCIO E EMPREENDIMENTOS,MA,Santa Luzia,2110005,CENTRO,secundario,0,,,,,,
61690843000151,JAQUELINE SANTOS PILATES E BEM ESTAR,SC,Florianópolis,4205407,CANASVIEIRAS/P. DAS CANAS,principal,0,,,,,,
61696940000151,SINERGIA FISIOTERAPIA E PILATES,PE,Petrolina,2611101,AREIA BRANCA,secundario,0,,,,,,
51835317000421,,SP,Poá,3539806,JARDIM ESTELA,principal,0,,,,,,
61007028000145,ULTRA ACADEMIA PATIO BRASIL,DF,Brasília,5300108,ASA SUL,secundario,0,,,,,,
61699962000175,CT MAPFIT CORDEIROS,SC,Itajaí,4208203,CORDEIROS,principal,0,,,,,,
61701824000183,FENIX ACADEMIA,AL,Jaramataia,2703700,CENTRO,principal,0,,,,,,
61704459000160,ACADEMIA JUNDIARA,PA,Santarém,1506807,PRAINHA,principal,0,,,,,,
61704555000109,L.A FITNESS ACADEMIA,GO,Cidade Ocidental,5205497,MANSOES RECREIO MOSSORO,principal,0,,,,,,
48713050000223,,BA,Lauro de Freitas,2919207,BURAQUINHO,principal,0,,,,,,
61721477000150,SAUDE FITNESS,PE,Petrolina,2611101,RAJADA,principal,0,,,,,,
55328006000265,MP FIT MUSCULACAO E SAUDE,SC,Tubarão,4218707,CENTRO,principal,0,,,,,,
61723198000126,PERFORMANCE ACADEMIA,GO,Jaupaci,5212006,SETOR CENTRAL,principal,0,,,,,,
61725431000100,BIANCA SARTORI P ABREU FISIOTERAPIA,SP,Cajamar,3509205,COLINA MARIA LUIZA (JORDANESIA),secundario,0,,,,,,
61727993000192,CLINICA MARPEH FSIOTERAPIA E PILATES,DF,Brasília,5300108,NORTE (AGUAS CLARAS),secundario,0,,,,,,
61728068000186,AMPLIMOVE,SP,Campinas,3509502,JARDIM NOVA EUROPA,secundario,0,,,,,,
61730459000135,ALCANCE PILATES E FISIOTERAPIA POR PLINIO FRIAS,MG,Belo Horizonte,3106200,RENASCENCA,secundario,0,,,,,,
61731009000167,SO EVENT SPORTS CHAPECO,SC,Chapecó,4204202,MILLENIUM,secundario,0,,,,,,
61737328000180,ALCANCAR CLINICA DE FISIOTERAPIA INTEGRADA ALMENARA,MG,Almenara,3101706,SAO JUDAS TADEU,secundario,0,,,,,,
61740609000191,CT IRONBACK MS,MS,Ponta Porã,5006606,VILA SECADOR NUCLEO URBANO,principal,0,,,,,,
61741830000164,DRAGONS ACADEMIA,MG,Pouso Alegre,3152501,FATIMA I,principal,1,alta,num+rua+nome,100,100,4024160b-2807-45bd-9da7-911c8cfb494e,DRAGONS ACADEMIA POUSO ALEGRE III
61743305000188,CLINICA ALINE BEDIN PILATES E FISIOTERAPIA,RS,Marau,4311809,SAO CRISTOVAO,secundario,0,,,,,,
61750164000120,WORLD GYM TAGUATINGA,DF,Brasília,5300108,SETOR INDUSTRIAL (TAGUATINGA),principal,0,,,,,,
61752984000151,STELLA FIT ACADEMIA,MA,Araguanã,2100873,CENTRO,principal,0,,,,,,
61754381000199,ESPACO FITNESS ACADEMIA,AL,Junqueiro,2704005,CENTRO,principal,0,,,,,,
61756395000141,CODIGO ENDURANCE,SP,São Paulo,3550308,BELA VISTA,principal,0,,,,,,
61620184000187,,MG,Pitangui,3151404,CHAPADAO,principal,0,,,,,,
61764219000151,ARENA EVEREST,MA,Zé Doca,2114007,CENTRO,secundario,0,,,,,,
61764801000118,SUMMER CROSS,GO,Trindade,5221403,VILA JOÃO BRAZ,principal,0,,,,,,
60672132000191,AYA STUDIO DE PILATES LTDA,MG,Patos de Minas,3148004,ROSARIO,principal,1,alta,num+rua+nome,100,100,dcca6b26-8f69-4e5a-a286-422dc348bfd6,Aya Pilates
61767746000110,HB STUDIO,MG,Conselheiro Lafaiete,3118304,QUINTAS DO SOL,principal,1,alta,num+rua+nome,100,100,26422987-4421-4087-b31a-eb666707d27b,HB Studio
61772072000141,E.W.F. ACADEMIA,ES,Ibatiba,3202454,FLORESTA I,principal,0,,,,,,
